s,r,Reputation,Prediction,fdk_val,Response,value,trial,fdk_val_1b
sub-1158,1,Mean80,1,0,2,3,3,1
sub-1158,1,Nice60,0,1,4,3,4,1
sub-1158,1,Mean60,0,0,2,2,5,1
sub-1158,1,Nice80,1,1,4,3,6,2
sub-1158,1,Mean80,0,0,2,3,7,1
sub-1158,1,Nice60,1,1,3,3,8,2
sub-1158,1,Mean60,1,1,4,2,9,1
sub-1158,1,Nice80,0,1,4,3,10,2
sub-1158,1,Mean80,1,0,2,3,11,1
sub-1158,1,Nice60,0,0,1,3,12,2
sub-1158,1,Mean60,1,0,2,2,13,2
sub-1158,1,Nice80,1,1,3,3,14,2
sub-1158,1,Mean80,0,0,2,3,15,1
sub-1158,1,Nice60,1,1,3,3,16,1
sub-1158,1,Mean60,0,0,1,2,17,1
sub-1158,1,Nice80,1,1,4,3,18,2
sub-1158,1,Mean80,1,1,3,3,19,1
sub-1158,1,Nice60,1,0,2,3,20,2
sub-1158,1,Mean60,0,1,3,2,21,1
sub-1158,1,Nice80,0,1,3,3,22,2
sub-1158,1,Mean80,1,0,2,3,23,2
sub-1158,1,Nice60,1,1,3,3,24,1
sub-1158,1,Mean60,0,1,3,2,25,2
sub-1158,1,Nice80,1,0,2,3,26,2
sub-1158,1,Mean80,0,0,1,3,27,1
sub-1158,1,Nice60,1,1,4,3,28,2
sub-1158,1,Mean60,1,0,1,2,29,2
sub-1158,1,Nice80,1,1,4,3,30,1
sub-1158,1,Mean80,1,0,1,3,31,1
sub-1158,1,Nice60,1,0,2,3,32,2
sub-1158,2,Mean60,1,1,3,3,33,1
sub-1158,2,Nice80,0,1,4,3,34,2
sub-1158,2,Mean80,1,1,4,2,35,1
sub-1158,2,Nice60,0,1,4,3,36,1
sub-1158,2,Mean60,0,0,3,3,37,2
sub-1158,2,Nice80,1,1,3,3,38,2
sub-1158,2,Mean80,0,0,2,2,39,2
sub-1158,2,Nice60,1,0,2,3,40,2
sub-1158,2,Mean60,0,1,4,3,41,1
sub-1158,2,Nice80,1,0,2,3,42,2
sub-1158,2,Mean80,0,0,1,2,43,1
sub-1158,2,Nice60,1,0,3,3,44,1
sub-1158,2,Mean60,1,0,2,3,45,2
sub-1158,2,Nice80,1,1,4,3,46,1
sub-1158,2,Mean80,0,0,2,2,47,1
sub-1158,2,Nice60,1,1,4,3,48,1
sub-1158,2,Mean60,1,0,1,3,49,1
sub-1158,2,Nice80,0,1,3,3,50,2
sub-1158,2,Mean80,1,0,1,2,51,1
sub-1158,2,Nice60,1,0,1,3,52,2
sub-1158,2,Mean60,0,1,3,3,53,1
sub-1158,2,Nice80,0,1,4,3,54,2
sub-1158,2,Mean80,1,0,1,2,55,1
sub-1158,2,Nice60,0,0,3,3,56,1
sub-1158,2,Mean60,0,1,4,3,57,2
sub-1158,2,Nice80,0,1,3,3,58,2
sub-1158,2,Mean80,0,0,2,2,59,1
sub-1158,2,Nice60,1,0,1,3,60,1
sub-1158,2,Mean60,1,0,2,3,61,2
sub-1158,2,Nice80,1,0,2,3,62,2
sub-1158,2,Mean80,0,1,3,2,63,1
sub-1158,2,Nice60,1,1,4,3,64,1
sub-1158,3,Mean60,1,0,3,3,65,1
sub-1158,3,Nice80,1,1,4,2,66,1
sub-1158,3,Mean80,1,0,3,2,67,2
sub-1158,3,Nice60,0,1,3,3,68,2
sub-1158,3,Mean60,0,0,2,3,69,1
sub-1158,3,Nice80,1,1,4,2,70,2
sub-1158,3,Mean80,0,0,2,2,71,1
sub-1158,3,Nice60,1,0,1,3,72,2
sub-1158,3,Mean60,1,0,2,3,73,1
sub-1158,3,Nice80,1,1,3,2,74,2
sub-1158,3,Mean80,0,0,1,2,75,1
sub-1158,3,Nice60,1,0,1,3,76,1
sub-1158,3,Mean60,1,1,4,3,77,1
sub-1158,3,Nice80,0,1,3,2,78,2
sub-1158,3,Mean80,1,0,2,2,79,1
sub-1158,3,Nice60,0,1,4,3,80,1
sub-1158,3,Mean60,1,1,3,3,81,2
sub-1158,3,Nice80,1,0,1,2,82,2
sub-1158,3,Mean80,1,1,3,2,83,1
sub-1158,3,Nice60,1,0,2,3,84,2
sub-1158,3,Mean60,0,0,2,3,85,2
sub-1158,3,Nice80,1,1,3,2,86,1
sub-1158,3,Mean80,0,0,1,2,87,2
sub-1158,3,Nice60,0,1,4,3,88,1
sub-1158,3,Mean60,1,1,3,3,89,1
sub-1158,3,Nice80,1,1,4,2,90,2
sub-1158,3,Mean80,0,0,2,2,91,1
sub-1158,3,Nice60,0,0,2,3,92,2
sub-1158,3,Mean60,1,0,1,3,93,2
sub-1158,3,Nice80,1,1,3,2,94,2
sub-1158,3,Mean80,0,0,2,2,95,1
sub-1158,3,Nice60,0,1,4,3,96,1
sub-1158,4,Mean60,1,1,3,3,97,1
sub-1158,4,Nice80,1,1,4,2,98,2
sub-1158,4,Mean80,0,0,1,2,99,1
sub-1158,4,Nice60,1,1,4,3,100,2
sub-1158,4,Mean60,1,0,2,3,101,2
sub-1158,4,Nice80,1,1,3,2,102,2
sub-1158,4,Mean80,0,0,2,2,103,1
sub-1158,4,Nice60,1,0,2,3,104,2
sub-1158,4,Mean60,1,1,4,3,105,1
sub-1158,4,Nice80,1,1,3,2,106,2
sub-1158,4,Mean80,0,1,3,2,107,1
sub-1158,4,Nice60,0,1,4,3,108,1
sub-1158,4,Mean60,1,0,2,3,109,2
sub-1158,4,Nice80,1,0,1,2,110,2
sub-1158,4,Mean80,0,0,1,2,111,2
sub-1158,4,Nice60,0,1,4,3,112,2
sub-1158,4,Mean60,1,0,1,3,113,1
sub-1158,4,Nice80,1,1,4,2,114,1
sub-1158,4,Mean80,0,0,1,2,115,1
sub-1158,4,Nice60,1,0,1,3,116,2
sub-1158,4,Mean60,0,1,3,3,117,1
sub-1158,4,Nice80,0,1,3,2,118,2
sub-1158,4,Mean80,1,0,2,2,119,1
sub-1158,4,Nice60,1,1,3,3,120,1
sub-1158,4,Mean60,0,1,4,3,121,2
sub-1158,4,Nice80,1,1,4,2,122,2
sub-1158,4,Mean80,1,1,4,2,123,1
sub-1158,4,Nice60,1,0,1,3,124,2
sub-1158,4,Mean60,1,0,2,3,125,2
sub-1158,4,Nice80,1,0,2,2,126,2
sub-1158,4,Mean80,0,0,2,2,127,2
sub-1158,4,Nice60,1,1,3,3,128,1
sub-1172,1,Mean60,1,0,2,2,1,1
sub-1172,1,Nice80,1,1,3,3,2,1
sub-1172,1,Mean80,0,0,2,2,3,1
sub-1172,1,Nice60,1,1,4,3,4,1
sub-1172,1,Mean60,0,0,1,2,5,1
sub-1172,1,Nice80,1,1,4,3,6,2
sub-1172,1,Mean80,0,0,2,2,7,1
sub-1172,1,Nice60,1,1,3,3,8,2
sub-1172,1,Mean60,0,1,4,2,9,1
sub-1172,1,Nice80,1,1,3,3,10,2
sub-1172,1,Mean80,0,0,NA,2,11,1
sub-1172,1,Nice60,1,0,1,3,12,2
sub-1172,1,Mean60,1,0,2,2,13,2
sub-1172,1,Nice80,1,1,4,3,14,2
sub-1172,1,Mean80,1,0,2,2,15,1
sub-1172,1,Nice60,1,1,4,3,16,1
